exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss
59,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 00:53:12",1160.195,14.323,0.517,0.9178,0.7188
60,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:22:43",1116.367,14.312,0.516,0.9167,0.7295
61,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:41:04",687.288,14.318,0.515,0.9032,0.7558
62,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 01:58:00",630.556,14.331,0.516,0.9072,0.7468
63,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 02:26:06",1060.037,14.325,0.517,0.9132,0.7297
64,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 02:50:50",930.828,14.32,0.516,0.909,0.7386
65,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 03:24:52",1288.053,14.312,0.514,0.9191,0.736
66,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 03:54:47",1131.28,14.32,0.517,0.9133,0.7315
67,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 04:29:38",1317.327,14.319,0.519,0.9214,0.728
68,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 04:55:54",988.064,14.32,0.517,0.901,0.7698
69,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 05:22:11",988.786,14.33,0.519,0.9098,0.7548
70,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 05:52:08",1131.246,14.32,0.516,0.9179,0.7195
71,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:18:19",987.529,14.312,0.515,0.9069,0.7441
72,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:36:46",687.908,14.331,0.514,0.9055,0.7545
73,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 06:58:55",831.565,14.337,0.514,0.9038,0.7538
74,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 07:23:19",916.973,14.328,0.514,0.9071,0.7518
75,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 07:56:36",1261.322,14.333,0.514,0.9191,0.7189
76,exp(nni_tunning)_gdbls_on_cifar10,"07/26/2022, 08:16:26",745.12,14.329,0.513,0.9021,0.7591
