exp_name,exp_time,train_time,train_time_epoch,val_time_epoch,acc,loss,last_test_time_consumption
73,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 04:22:50",843.801,14.063,8.933,0.6463,2.0474,
74,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 05:11:39",1535.954,20.21,6.756,0.9632,0.6096,
75,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 05:37:28",722.419,14.448,7.723,0.8999,0.7712,
76,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 06:12:46",1039.709,14.05,6.526,0.6548,2.0106,
77,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 06:57:27",1396.656,20.241,6.935,0.9632,0.6117,
78,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 07:31:31",1015.432,14.506,6.183,0.9078,0.7509,
79,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 08:03:59",914.272,14.066,7.755,0.6472,2.0373,
80,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 08:48:39",1437.104,20.241,5.875,0.9621,0.6129,
81,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 09:17:17",867.618,14.46,5.644,0.9109,0.7387,
82,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 09:57:07",1137.78,14.047,7.265,0.6558,2.0191,
83,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 10:41:09",1376.262,20.239,6.935,0.964,0.607,
84,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 11:16:44",1070.758,14.47,5.926,0.9114,0.7387,
85,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 11:55:29",1094.875,14.037,7.73,0.6481,2.0348,
86,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 13:01:40",2183.649,20.219,5.304,0.967,0.6002,
87,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 13:40:34",1139.816,14.428,6.813,0.9204,0.7078,
88,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 14:14:29",912.287,14.035,8.909,0.6359,2.0771,
89,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 15:06:14",1574.574,20.187,8.138,0.9641,0.6097,
90,exp(TestOriginalPooling)_gdbls_on_cifar10,"07/24/2022, 15:48:25",1242.984,14.453,6.624,0.9175,0.7231,
91,exp(TestOriginalPooling)_gdbls_on_cifar100,"07/24/2022, 16:19:46",841.824,14.03,9.035,0.6474,2.0361,
92,exp(TestOriginalPooling)_gdbls_on_svhn,"07/24/2022, 17:07:42",1517.845,20.238,6.493,0.961,0.6181,
93,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 21:38:28",844.615,14.316,0.508,0.9039,0.752,
94,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 22:16:59",1458.979,14.304,0.518,0.9135,0.7364,
95,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 22:35:23",686.136,14.294,0.519,0.901,0.7669,
96,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:00:31",943.922,14.302,0.519,0.909,0.7368,
97,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:24:31",902.51,14.326,0.517,0.9022,0.8179,
98,exp(nni_tunning)_gdbls_on_cifar10,"07/24/2022, 23:50:20",972.1,14.296,0.517,0.9065,0.7449,
99,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 00:15:47",957.547,14.292,0.517,0.9083,0.7425,
100,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 00:41:41",972.195,14.297,0.518,0.9142,0.7303,
101,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 01:11:13",1115.018,14.295,0.517,0.894,0.8313,
102,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 01:49:24",1445.304,14.31,0.517,0.9044,0.7612,
103,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 02:13:25",900.942,14.301,0.517,0.8888,0.8459,
104,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 02:33:37",758.221,14.306,0.516,0.8993,0.7638,
105,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 03:06:12",1232.91,14.336,0.516,0.9135,0.729,
106,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 03:38:51",1232.103,14.327,0.516,0.9116,0.7367,
107,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:09:09",1144.492,14.306,0.513,0.9121,0.7419,
108,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:27:13",672.312,14.305,0.514,0.8926,0.8476,
109,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 04:54:09",1015.841,14.308,0.514,0.9138,0.7303,
110,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 05:16:13",829.073,14.294,0.515,0.894,0.8348,
111,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 05:42:25",987.033,14.305,0.517,0.9108,0.7385,
112,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 06:06:43",915.683,14.308,0.517,0.9091,0.7403,
113,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 06:41:56",1330.459,14.306,0.515,0.9088,0.7407,
114,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 07:13:44",1201.215,14.3,0.515,0.9112,0.7341,
115,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 07:41:01",1029.709,14.302,0.513,0.9056,0.8122,
116,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:04:55",900.57,14.295,0.514,0.908,0.7485,
117,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:30:45",974.318,14.328,0.514,0.912,0.7323,
118,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 08:53:28",851.007,14.424,0.522,0.9057,0.7469,
119,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 09:22:39",1100.61,14.294,0.518,0.9049,0.8178,
120,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 09:48:50",986.37,14.295,0.517,0.9143,0.7312,
121,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 10:15:02",987.203,14.307,0.519,0.9133,0.7329,
122,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 10:42:43",1045.16,14.317,0.518,0.91,0.7414,
123,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 11:13:41",1172.622,14.3,0.517,0.9119,0.7345,
124,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 11:45:31",1201.289,14.301,0.516,0.9225,0.707,
125,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:11:21",973.37,14.314,0.519,0.9055,0.7434,
126,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:34:33",872.161,14.298,0.515,0.9115,0.7366,
127,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 12:56:13",814.821,14.295,0.515,0.9031,0.7662,
128,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 13:22:23",987.251,14.308,0.515,0.9146,0.7294,
129,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 13:51:30",1101.043,14.299,0.514,0.9133,0.7248,
130,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 14:19:57",1072.836,14.304,0.519,0.9131,0.7218,
131,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 14:54:42",1316.436,14.309,0.518,0.9198,0.7154,
132,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 15:37:00",1607.422,14.352,0.518,0.921,0.7097,
133,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 16:09:30",1231.322,14.318,0.517,0.9206,0.7267,
134,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 16:35:21",972.432,14.3,0.518,0.9141,0.7578,
135,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:00:26",943.68,14.298,0.517,0.9068,0.7523,
136,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:37:00",1385.171,14.28,0.514,0.9016,0.7908,
137,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 17:59:48",858.576,14.31,0.515,0.8914,0.8453,
138,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 18:27:08",1031.435,14.325,0.516,0.9137,0.7279,
139,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 18:54:33",1031.009,14.32,0.516,0.8998,0.8269,
140,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 19:14:25",744.188,14.311,0.514,0.9093,0.7451,
141,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 19:47:20",1244.16,14.301,0.514,0.9064,0.8103,
142,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 20:13:42",995.046,14.421,0.518,0.9003,0.8114,
143,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 20:38:05",917.567,14.337,0.513,0.912,0.7382,
144,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 21:06:53",1088.478,14.322,0.518,0.9171,0.7218,
145,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 21:45:01",1445.69,14.314,0.517,0.9216,0.7181,
146,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 22:20:15",1332.725,14.33,0.516,0.924,0.7107,
147,exp(nni_tunning)_gdbls_on_cifar10,"07/25/2022, 22:45:43",959.359,14.319,0.518,0.9158,0.7211,
